Category;Product Name;Package Quantity;SKU;Power (Watts);Footprint (SQ FT);Manufacturing Cost;Suggested Retail;Product Line;Target Consumer;Availability;Units Available
Solar panels;K-Eco phone charger;1;KE001;0,8;n/a;1,23;13,85;Economy;Personal;In stock;4804
Batteries;K-Eco 12-volt Lithium-ion solar backup battery;1;KE12Li;n/a;n/a;2100;4500;Economy;Domestic;In stock;670
Lightbulbs;K-Eco Energy Bulbs 13W ;1;KE13W;13;n/a;0,75;2,24;Economy;Domestic, Corporate, Personal;In stock;32478
Lightbulbs;K-Eco Energy Bulbs 13W (4-pack);4;KE13W04;13;n/a;3;6,55;Economy;Domestic, Corporate, Personal;In stock;17344
Lightbulbs;K-Eco Energy Bulbs 13W  (8-pack);8;KE13W08;13;n/a;6;11,25;Economy;Domestic, Corporate, Personal;In stock;9237
Solar panels;K-Eco 180;1;KE180;180;12,1;162;315;Economy;Domestic;In stock;1456
Batteries;K-Eco 18-volt Lithium-ion solar backup battery;1;KE18Li;n/a;n/a;2300;5200;Economy;Domestic;On back order;540
Solar panels;K-Eco 200;1;KE200;200;13,4;180;350;Economy;Domestic;In stock;2500
Lightbulbs;K-Eco Energy Bulbs 20W ;1;KE20W;20;n/a;1,2;2,65;Economy;Domestic, Corporate, Personal;In stock;15998
Lightbulbs;K-Eco Energy Bulbs 20W (4-pack);4;KE20W04;20;n/a;4,9;7,45;Economy;Domestic, Corporate, Personal;In stock;13444
Lightbulbs;K-Eco Energy Bulbs 20W  (8-pack);8;KE20W08;20;n/a;9,8;12,4;Economy;Domestic, Corporate, Personal;In stock;14998
Solar panels;K-Eco 225;1;KE225;225;14,2;198;385;Economy;Domestic;In stock;2136
Lightbulbs;K-Eco Energy Bulbs 23W ;1;KE23W;23;n/a;1,45;3,8;Economy;Domestic, Corporate, Personal;In stock;12111
Lightbulbs;K-Eco Energy Bulbs 23W (4-pack);4;KE23W04;23;n/a;5,8;12;Economy;Domestic, Corporate, Personal;In stock;6599
