Order ID;Customer ID;Date of Purchase;SKU;Product Name;Quantity;Total Price;Discount;Date of Shipping;Ship Mode
AK-2022-105263;RN447;06.08.2022;KE36Li;K-Eco 36-volt Lithium-ion solar backup battery;9;64125;0,05;11.08.2022;Standard Class
AK-2022-105277;RN447;04.12.2022;KI2K;K-Invert 2K;3;7803;0,15;08.12.2022;Standard Class
AK-2022-120796;RN447;03.04.2022;KI4K;K-Invert 4K;9;50673,6;0,08;07.04.2022;Standard Class
AK-2022-122182;RN447;10.03.2022;KEPATH12;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack);1;14,05;0,68;14.03.2022;Standard Class
AK-2022-124667;RN447;11.11.2022;KE18Li;K-Eco 18-volt Lithium-ion solar backup battery;1;4212;0,19;16.11.2022;Standard Class
AK-2022-124667;RN447;11.11.2022;KEPATH01;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery;3;14,33;0,09;16.11.2022;Standard Class
AK-2022-148698;RN447;02.05.2022;KE36Li;K-Eco 36-volt Lithium-ion solar backup battery;3;19800;0,12;07.05.2022;Standard Class
AK-2022-151827;RN447;31.03.2022;KEBL600;K-Eco Blast 600;3;2337;0,24;02.04.2022;Second Class
AK-2022-151827;RN447;31.03.2022;KEPATH01;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery;2;9,97;0,05;02.04.2022;Second Class
AK-2022-161746;RN447;21.10.2022;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);2;21,6;0,04;27.10.2022;Standard Class
AK-2022-161746;RN447;21.10.2022;KE18Li;K-Eco 18-volt Lithium-ion solar backup battery;3;14196;0,09;27.10.2022;Standard Class
AK-2022-161746;RN447;21.10.2022;KEPATH08;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack);3;94,56;0,05;27.10.2022;Standard Class
AK-2022-165918;RN447;10.09.2022;KE300;K-Eco 300;2;882;0,16;14.09.2022;Standard Class
AK-2022-165918;RN447;10.09.2022;KI9K;K-Invert 9K;3;53460;0,1;14.09.2022;Standard Class
AK-2022-167507;RN447;22.12.2022;KE23W04;K-Eco Energy Bulbs 23W (4-pack);1;2,52;0,79;28.12.2022;Standard Class
AK-2022-167507;RN447;22.12.2022;KE23W08;K-Eco Energy Bulbs 23W  (8-pack);4;47,6;0,32;28.12.2022;Standard Class
AK-2023-102820;RN447;07.05.2023;KEBL200;K-Eco Blast 200;7;3080;0,2;11.05.2023;Standard Class
AK-2023-105620;RN447;25.12.2023;KE13W04;K-Eco Energy Bulbs 13W (4-pack);3;16,9;0,14;28.12.2023;First Class
AK-2023-105620;RN447;25.12.2023;KE200;K-Eco 200;2;588;0,16;28.12.2023;First Class
AK-2023-108014;RN447;19.11.2023;KI2K;K-Invert 2K;7;16279,2;0,24;25.11.2023;Standard Class
AK-2023-115105;RN447;06.02.2023;KI2K;K-Invert 2K;1;2968,2;0,03;11.02.2023;Standard Class
AK-2023-117863;RN447;18.05.2023;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);2;8,68;0,65;23.05.2023;Standard Class
AK-2023-117947;RN447;18.08.2023;KE13W04;K-Eco Energy Bulbs 13W (4-pack);2;9,69;0,26;23.08.2023;Second Class
AK-2023-117947;RN447;18.08.2023;KE9W;K-Eco Energy Bulbs 9W;2;2,2;0,45;23.08.2023;Second Class
AK-2023-118640;RN447;20.07.2023;KE13W04;K-Eco Energy Bulbs 13W (4-pack);1;2,62;0,6;26.07.2023;Standard Class
AK-2023-118640;RN447;20.07.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);2;12,61;0,03;26.07.2023;Standard Class
AK-2023-120019;RN447;16.02.2023;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);3;19,18;0,13;21.02.2023;Standard Class
AK-2023-121818;RN447;20.11.2023;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);7;29,33;0,43;21.11.2023;First Class
AK-2023-121818;RN447;20.11.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);3;5,66;0,71;21.11.2023;First Class
AK-2023-122154;RN447;09.04.2023;KE200;K-Eco 200;3;714;0,32;11.04.2023;First Class
AK-2023-122154;RN447;09.04.2023;KEBL400;K-Eco Blast 400x (same power, smaller footprint);3;2790,7;0,07;11.04.2023;First Class
AK-2023-122154;RN447;09.04.2023;KI2K;K-Invert 2K;1;2692,8;0,12;11.04.2023;First Class
AK-2023-124436;RN447;19.03.2023;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);1;10,91;0,12;22.03.2023;Second Class
AK-2023-124436;RN447;19.03.2023;KE325;K-Eco 325;5;1990,62;0,3;22.03.2023;Second Class
AK-2023-124436;RN447;19.03.2023;KI2K;K-Invert 2K;2;5875,2;0,04;22.03.2023;Second Class
AK-2023-126053;RN447;05.12.2023;KE23W04;K-Eco Energy Bulbs 23W (4-pack);2;6;0,75;08.12.2023;First Class
AK-2023-126053;RN447;05.12.2023;KE325;K-Eco 325;3;1313,81;0,23;08.12.2023;First Class
AK-2023-127264;RN447;03.04.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);3;12,09;0,38;05.04.2023;First Class
AK-2023-129322;ZW921;08.08.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);2;11,57;0,11;10.08.2023;Second Class
AK-2023-131625;ZW921;01.09.2023;KE13W;K-Eco Energy Bulbs 13W;5;10,64;0,05;05.09.2023;Second Class
AK-2023-140949;ZW921;17.03.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);6;21,45;0,45;22.03.2023;Second Class
AK-2023-140949;ZW921;17.03.2023;KEBR5;K-Eco Breeze Mini;6;323,4;0,02;22.03.2023;Second Class
AK-2023-144365;RN447;24.10.2023;KE9W08;K-Eco Energy Bulbs 9W  (8-pack);4;37,62;0,01;30.10.2023;Standard Class
AK-2023-145338;RN447;29.01.2023;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);2;5,07;0,61;01.02.2023;First Class
AK-2023-149160;ZW921;23.11.2023;KE9W08;K-Eco Energy Bulbs 9W  (8-pack);2;9,5;0,5;26.11.2023;Second Class
AK-2023-157091;ZW921;26.06.2023;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);5;54;0,04;01.07.2023;Standard Class
AK-2023-158505;ZW921;21.07.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);1;4,9;0,5;21.07.2023;Same Day
AK-2023-158505;ZW921;21.07.2023;KEBR5;K-Eco Breeze Mini;9;108,9;0,78;21.07.2023;Same Day
AK-2023-160661;RN447;28.10.2023;KE300;K-Eco 300;3;1197;0,24;01.11.2023;Standard Class
AK-2023-162033;RN447;26.03.2023;KE23W04;K-Eco Energy Bulbs 23W (4-pack);2;11,04;0,54;02.04.2023;Standard Class
AK-2023-162033;RN447;26.03.2023;KEPATH08;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack);3;22,89;0,77;02.04.2023;Standard Class
AK-2023-163097;ZW921;27.08.2023;KE13W08;K-Eco Energy Bulbs 13W  (8-pack);8;63;0,3;31.08.2023;Standard Class
AK-2023-163405;ZW921;21.12.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);3;12,64;0,57;25.12.2023;Standard Class
AR-2022-102232;BA261;05.08.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);7;21,27;0,69;11.08.2022;Standard Class
AR-2022-105452;RH129;28.07.2022;KE23W;K-Eco Energy Bulbs 23W;5;12,73;0,33;01.08.2022;Standard Class
AR-2022-105452;RH129;28.07.2022;KE9W08;K-Eco Energy Bulbs 9W  (8-pack);5;44,65;0,06;01.08.2022;Standard Class
AR-2022-106341;OM513;20.10.2022;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);3;12,48;0,36;23.10.2022;First Class
AR-2022-108056;RH129;29.09.2022;KEBL1200;K-Eco Blast 1200;3;6003;0,13;03.10.2022;Standard Class
AR-2022-111010;AO423;22.01.2022;KE9W08;K-Eco Energy Bulbs 9W  (8-pack);6;49,02;0,14;28.01.2022;Standard Class
AR-2022-114307;BA261;22.07.2022;KE9W;K-Eco Energy Bulbs 9W;3;3,18;0,47;26.07.2022;Standard Class
AR-2022-114307;BA261;22.07.2022;KEBL100;K-Eco Blast 100;4;448;0,6;26.07.2022;Standard Class
AR-2022-114307;BA261;22.07.2022;KEBR5;K-Eco Breeze Mini;8;206,8;0,53;26.07.2022;Standard Class
AR-2022-116442;AO423;15.12.2022;KE13W04;K-Eco Energy Bulbs 13W (4-pack);2;6,03;0,54;22.12.2022;Standard Class
AR-2022-122133;BA261;16.05.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);4;19,99;0,49;23.05.2022;Standard Class
AR-2022-123533;RH129;24.11.2022;KEBL600;K-Eco Blast 600;4;3526;0,14;30.11.2022;Standard Class
AR-2022-123533;RH129;24.11.2022;KI13K;K-Invert 13K;5;132990;0,07;30.11.2022;Standard Class
AR-2022-126543;BA261;09.01.2022;KE20W04;K-Eco Energy Bulbs 20W (4-pack);2;5,51;0,63;13.01.2022;Second Class
AR-2022-129868;AO423;26.12.2022;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);3;7,28;0,67;31.12.2022;Standard Class
AR-2022-131205;AO423;04.09.2022;KE9W08;K-Eco Energy Bulbs 9W  (8-pack);3;25,65;0,1;08.09.2022;Standard Class
AR-2022-131205;AO423;04.09.2022;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);3;12,79;0,42;08.09.2022;Standard Class
AR-2022-133541;OM513;02.12.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);5;23,56;0,62;06.12.2022;Standard Class
AR-2022-134936;RH129;19.12.2022;KE300;K-Eco 300;6;1606,5;0,49;25.12.2022;Standard Class
AR-2022-134936;RH129;19.12.2022;KI20K;K-Invert 20K;2;84480;0,04;25.12.2022;Standard Class
AR-2022-137127;RH129;16.06.2022;KE450;K-Eco 450;3;1559,25;0,34;22.06.2022;Standard Class
AR-2022-137729;RH129;05.05.2022;KEBL600;K-Eco Blast 600;3;2613,75;0,15;09.05.2022;Standard Class
AR-2022-140207;RH129;05.11.2022;KI9K;K-Invert 9K;5;97020;0,02;10.11.2022;Standard Class
AR-2022-145303;OM513;28.08.2022;KI4K;K-Invert 4K;9;52326;0,05;31.08.2022;First Class
AR-2022-145303;OM513;28.08.2022;KI7K;K-Invert 7K;2;19278;0,1;31.08.2022;First Class
AR-2022-145303;OM513;28.08.2022;KI9K;K-Invert 9K;4;72072;0,09;31.08.2022;First Class
AR-2022-147137;AO423;04.07.2022;KE9W;K-Eco Energy Bulbs 9W;5;8,5;0,15;06.07.2022;First Class
AR-2022-147137;AO423;04.07.2022;KEAA06;K-Eco AA  NiMH rechargeable batteries (6-pack);4;10,88;0,63;06.07.2022;First Class
AR-2022-147578;AO423;22.04.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);3;32,36;0,13;26.04.2022;Second Class
AR-2022-147991;AO423;05.05.2022;KE20W04;K-Eco Energy Bulbs 20W (4-pack);5;32,78;0,12;09.05.2022;Standard Class
AR-2022-148684;RH129;25.12.2022;KE23W;K-Eco Energy Bulbs 23W;5;13,3;0,3;29.12.2022;Standard Class
AR-2022-148684;RH129;25.12.2022;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);9;22,93;0,74;29.12.2022;Standard Class
AR-2022-151155;BA261;20.12.2022;KE23W;K-Eco Energy Bulbs 23W;4;6,84;0,55;24.12.2022;Standard Class
AR-2022-151323;BA261;23.10.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);5;17,98;0,71;28.10.2022;Standard Class
AR-2022-152471;AO423;08.07.2022;KEBL100;K-Eco Blast 100;5;714;0,49;08.07.2022;Same Day
AR-2022-155551;OM513;18.04.2022;KEAAA06;K-Eco  AAA NiMH rechargeable batteries  (6-pack);3;11,31;0,42;23.04.2022;Standard Class
AR-2022-158358;OM513;04.03.2022;KEPATH08;K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (8-pack);2;59,72;0,1;08.03.2022;Standard Class
AR-2022-159653;OM513;22.05.2022;KE180;K-Eco 180;3;859,95;0,09;22.05.2022;Same Day
AR-2022-165827;BA261;04.11.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);6;34,22;0,54;09.11.2022;Standard Class
AR-2022-167682;AO423;03.04.2022;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);4;12,9;0,74;09.04.2022;Standard Class
AR-2023-100930;RH129;07.04.2023;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);3;14,88;0,6;12.04.2023;Standard Class
AR-2023-100930;RH129;07.04.2023;KE325;K-Eco 325;3;1262,63;0,26;12.04.2023;Standard Class
AR-2023-100930;RH129;07.04.2023;KE700;K-Eco 700;2;2010;0,33;12.04.2023;Standard Class
AR-2023-100930;RH129;07.04.2023;KI9K;K-Invert 9K;2;39204;0,01;12.04.2023;Standard Class
AR-2023-103380;RH129;21.11.2023;KE20W;K-Eco Energy Bulbs 20W;2;2,28;0,57;25.11.2023;Standard Class
AR-2023-103380;RH129;21.11.2023;KEAAA12;K-Eco  AAA NiMH rechargeable batteries (12-pack);2;10,58;0,46;25.11.2023;Standard Class
AR-2023-103380;RH129;21.11.2023;KEBL600;K-Eco Blast 600;3;1691,25;0,45;25.11.2023;Standard Class
AR-2023-105471;OM513;02.12.2023;KE20W08;K-Eco Energy Bulbs 20W  (8-pack);5;32,86;0,47;06.12.2023;Standard Class
AR-2023-105935;OM513;26.01.2023;KE23W04;K-Eco Energy Bulbs 23W (4-pack);4;44,64;0,07;31.01.2023;Standard Class
AR-2023-105998;OM513;03.11.2023;KE325;K-Eco 325;12;5528,25;0,19;05.11.2023;First Class
